,MODEL,C,Epsilon,Kernel,R2_fold1,R2_fold2,R2_fold3,R2_fold4,R2_fold5
53,SVR,55,0.3,linear,-1.6928890668808725,-1.8051618682694475,-1.668300793324419,-1.3426251289865174,-1.6239674683164944
54,SVR,55,0.4,linear,-1.6886434612789492,-1.8013281262593455,-1.660712239680263,-1.3374323121190748,-1.6174487448296446
55,SVR,55,0.5,linear,-1.682532625994741,-1.7923394635343772,-1.6557412394039281,-1.3320432618362839,-1.6086129286867203
56,SVR,60,0.1,linear,-1.5584604486414273,-1.555862003184898,-1.5237644481055366,-1.187693090135662,-1.4615819254223643
57,SVR,60,0.2,linear,-1.53842627538166,-1.5465253444488374,-1.5207963772454107,-1.17247084528947,-1.4559939173973184
58,SVR,60,0.3,linear,-1.535496234467213,-1.5451164918903455,-1.5165861434246328,-1.1638702408612192,-1.4463218667083177
59,SVR,60,0.4,linear,-1.5310307884339873,-1.5428871669410307,-1.5081805289710442,-1.1607358130672902,-1.4394966635846198
60,SVR,60,0.5,linear,-1.5251355828509592,-1.5347770117145267,-1.5052729165101022,-1.155122462641696,-1.4339720659753024
61,SVR,65,0.1,linear,-1.4006400828320609,-1.532546085278772,-1.378070441711686,-1.0498844126517306,-1.3214392906981338
62,SVR,65,0.2,linear,-1.3907273818060495,-1.5248589402134534,-1.3720903638588378,-1.036806844903018,-1.316579739428462
63,SVR,65,0.3,linear,-1.3876694607921727,-1.5233531282025887,-1.3688692709357992,-1.027843966963641,-1.3078332746032584
64,SVR,65,0.4,linear,-1.3804609501726812,-1.5183480447167814,-1.3606160314424245,-1.0255671705829594,-1.3065289259742165
65,SVR,65,0.5,linear,-1.3736306976050439,-1.5092828451689226,-1.355308176340659,-1.0213160068420772,-1.299421850311285
66,SVR,70,0.1,linear,-1.2579916220669025,-1.2778998158870118,-1.2496642272209213,-0.9208790941494742,-1.1974764422324844
67,SVR,70,0.2,linear,-1.2487781683613837,-1.269067665288794,-1.2456566399246394,-0.905570097805618,-1.1917742247752057
68,SVR,70,0.3,linear,-1.2468307695469343,-1.2651958096814733,-1.2423056751118202,-0.8953977615331599,-1.1816260040394488
69,SVR,70,0.4,linear,-1.2381250388648226,-1.2601279786738675,-1.2359336756071957,-0.8919019091951923,-1.1763858286251896
70,SVR,70,0.5,linear,-1.230767549915067,-1.2438319913702727,-1.2290507408920512,-0.8882781753247748,-1.169926799550932
71,SVR,75,0.1,linear,-1.1541986264525375,-1.080291428618485,-1.1683198648580695,-0.7944633075899874,-1.0458852306779027
72,SVR,75,0.2,linear,-1.1469064464281145,-1.0699693512748873,-1.1651433295021816,-0.7830208680007567,-1.0403416196412216
73,SVR,75,0.3,linear,-1.1468030456284803,-1.068431483500207,-1.160673812055975,-0.7599879885294285,-1.0227769874230197
74,SVR,75,0.4,linear,-1.1405263037003266,-1.063284128673533,-1.154010520615977,-0.7544073144005987,-1.0174134284871692
75,SVR,75,0.5,linear,-1.130856514255603,-1.0543990716578704,-1.1440333934125984,-0.7503922920095751,-1.0084002471618727
76,SVR,80,0.1,linear,-0.940175762297895,-0.9024769095078091,-1.0771233746140645,-0.6516191105328131,-0.9564312345675168
